text,category,priority
Please help. I am unable to send email from my phone Can someone take a look?,Email,Low
Need assistance: Please schedule account deactivation for 01/24/2025. User is separating from the company,End of Employment,High
Need assistance: The fan is extremely loud Please advise.,Hardware,Medium
The application fails to start after the update Can someone take a look?,Software,Medium
"Set up badge, laptop, and software for new hire Riley Davis, starting 05/19/2025 Please advise.",New Hire,Medium
"Hi team, My email signature disappeared after the update Thanks.",Email,High
Need assistance: Please process termination for Quinn Anderson. User's last day is 10/20/2025,End of Employment,High
End of employment request for Morgan Patel. Last working day is 09/02/2025.,End of Employment,High
"Hello, Laptop will not power on",Hardware,Medium
Please help. Can you set up onboarding for new employee Skyler Moore. Start date is 03/18/2025.,New Hire,High
The software update is stuck at 50 percent,Software,Low
Urgent: The CRM application keeps logging me out This is impacting work.,Software,Medium
Need assistance: Cameron Wilson starts 10/09/2025. Please create accounts and assign equipment.,New Hire,Medium
Please help. Outlook keeps asking for my password Thanks.,Email,Medium
"Hi team, Please provision a workstation for Drew Lewis. New Hire starts 07/15/2025 Please advise.",New Hire,Low
Need assistance: Shared mailbox is missing from Outlook Thanks.,Email,Medium
Urgent: USB ports are not recognizing devices,Hardware,High
Please collect equipment and remove access for Morgan Patel. Last day 05/29/2025.,End of Employment,High
The fan is extremely loud This is impacting work.,Hardware,Medium
"Hi team, New Hire Drew Lewis starts 02/05/2025. Please prepare laptop and accounts",New Hire,Medium
"Hi team, Onboarding request: Morgan Patel will start on 12/15/2025",New Hire,Medium
"Hi team, Calendar invites are not syncing Thanks.",Email,Medium
"Hi team, Laptop overheats during normal use Can someone take a look?",Hardware,Low
Urgent: The password reset link is not working This is impacting work.,Access,High
End of employment request for Reese Clark. Last working day is 09/16/2025 Thanks.,End of Employment,Medium
Urgent: Outlook keeps asking for my password,Email,Medium
"Hello, I am not receiving emails from external senders",Email,Medium
VPN disconnects every few minutes This is impacting work.,Network,Medium
End of employment request for Jordan Lee. Last working day is 10/09/2025 Please advise.,End of Employment,High
"Hi team, Connection times out when I try to open the intranet Thanks.",Network,High
Please help. Outlook crashes when I open attachments Thanks.,Email,Medium
"Hello, Video calls keep lagging due to network issues.",Network,Medium
"Hello, My headset is not being detected Can someone take a look?",Hardware,High
"Hi team, The scanner feeder is not pulling pages correctly Can someone take a look?",Printer,Medium
Urgent: New Hire Quinn Anderson starts 01/04/2025. Please prepare laptop and accounts This is impacting work.,New Hire,Medium
New Hire paperwork complete. Drew Lewis begins on 09/05/2025,New Hire,Medium
I lose access to the network after waking the laptop Can someone take a look?,Network,Medium
The paper tray is not being recognized,Printer,Medium
"Hi team, The program opens and then immediately closes Please advise.",Software,High
"Hello, I am not receiving emails from external senders Please advise.",Email,Low
Urgent: The CRM application keeps logging me out.,Software,Medium
"Hello, I need access to the HR shared drive",Access,High
Please help. Employee Drew Lewis's last day is 06/21/2025. Can you disable access at close of business Can someone take a look?,End of Employment,High
"Hello, Emails are stuck in the outbox.",Email,Low
Urgent: The company portal loads very slowly Thanks.,Network,Medium
"Hello, Outlook still asking for my password Thanks.",Email,Medium
"Hi team, I cannot send email from my phone Please advise.",Email,High
Urgent: Please prepare access for incoming employee Parker Garcia. Start date: 01/31/2025 Thanks.,New Hire,Low
"Hi team, Please remove system access for departing employee. Last day is 07/26/2025",End of Employment,High
Need assistance: Outlook keeps asking for my password Can someone take a look?,Email,Medium
"Hi team, Set up badge, laptop, and software for new hire Drew Lewis, starting 01/30/2025 Can someone take a look?",New Hire,Medium
Internet is extremely slow on my laptop.,Network,Medium
"Hi team, I can't access the internal company website.",Network,Medium
Urgent: Color printing is failing This is impacting work.,Printer,Medium
Need assistance: My account permissions were removed unexpectedly Can someone take a look?,Access,Low
Please help. I cannot send email from my phone Thanks.,Email,Low
Print jobs are stuck in the queue,Printer,Medium
Please help. The application fails to start after the update Please advise.,Software,Medium
Please help. Calendar invites are not syncing Thanks.,Email,High
Urgent: Calendar invites are not syncing,Email,Medium
"Hello, Please prepare access for incoming employee Cameron Wilson. Start date: 05/04/2025 Thanks.",New Hire,Medium
"Hi team, I cannot connect to office Wi-Fi Can someone take a look?",Network,Medium
Please help. Email search is not finding recent messages Please advise.,Email,Medium
"Hi team, Docking station is not working",Hardware,Medium
"Hello, New Hire paperwork complete. Jamie Thomas begins on 08/02/2025",New Hire,Medium
Remote desktop connection fails Can someone take a look?,Network,High
Please help. Wi-Fi drops when I move between rooms,Network,Medium
Please help. I need access to the HR shared drive Please advise.,Access,Medium
Alex Johnson starts 08/24/2025. Kindly create accounts and assign equipment This is impacting work.,New Hire,Medium
Laptop overheats during normal use.,Hardware,High
The scanner feeder is not pulling pages correctly This is impacting work.,Printer,Medium
Can you schedule account deactivation for 07/14/2025. User is separating from the company,End of Employment,High
Need assistance: The password reset link is not working Can someone take a look?,Access,Low
Urgent: I am getting access denied for the project folder Can someone take a look?,Access,Medium
Teams will not open after restarting the laptop Please advise.,Software,High
Need assistance: Can you set up onboarding for new employee Taylor Smith. Start date is 11/01/2025 This is impacting work.,New Hire,High
"Hello, My headset is not being detected",Hardware,High
The printer is making a loud grinding noise Thanks.,Printer,High
Urgent: Internet is extremely slow on my laptop Please advise.,Network,High
Need assistance: Excel freezes when I open large files.,Software,High
Need assistance: The fan is extremely loud Thanks.,Hardware,Medium
User separation request. Last day is 08/21/2025 Please advise.,End of Employment,High
Need assistance: Adobe Acrobat keeps asking for a license Thanks.,Software,Low
Teams crashes during meetings,Software,Medium
"Hi team, VPN disconnects every few minutes",Network,High
Urgent: The application fails to start after the update Can someone take a look?,Software,Low
"Hi team, Laptop overheats during normal use Please advise.",Hardware,Low
Please help. I cannot access the payroll system Can someone take a look?,Access,Medium
Please help. Battery drains very quickly Please advise.,Hardware,Medium
Need assistance: Please process termination for Jordan Lee. User's last day is 02/21/2025 Please advise.,End of Employment,Medium
"Hi team, Please collect equipment and remove access for Skyler Moore. Last day 07/12/2025 Can someone take a look?",End of Employment,High
Please help. Remote desktop connection fails Can someone take a look?,Network,Medium
Please help. Offboarding needed. Cameron Wilson is leaving on 01/12/2025 Please advise.,End of Employment,High
"Hello, Keyboard is typing the wrong characters Please advise.",Hardware,Medium
The printer shows offline status Please advise.,Printer,Medium
Please help. The software is running very slowly Can someone take a look?,Software,High
Urgent: VPN connects but I cannot access shared drives Can someone take a look?,Network,Medium
Urgent: I get a permission error when opening the database This is impacting work.,Access,High
Employee Parker Garcia's last day is 06/01/2025. Please disable access at close of business,End of Employment,High
Adobe Acrobat keeps asking for a license Can someone take a look?,Software,Medium
Need assistance: Connection times out when I try to open the intranet Thanks.,Network,Medium
The password reset link is not working,Access,Medium
"Hi team, Employee resignation notice. User's last day is 11/25/2025",End of Employment,High
"Hello, Set up badge, laptop, and software for new hire Quinn Anderson, starting 06/13/2025.",New Hire,Medium
Please help. The printer says toner is low even after replacement.,Printer,Medium
Urgent: I need access to the HR shared drive This is impacting work.,Access,High
Urgent: The printer keeps jamming during print jobs Can someone take a look?,Printer,Medium
"Hi team, Please collect equipment and remove access for Casey Brown. Last day 10/02/2025",End of Employment,High
"Hi team, Kindly process termination for Jamie Thomas. User's last day is 06/30/2025 Can someone take a look?",End of Employment,High
Urgent: Employee resignation notice. User's last day is 08/30/2025 This is impacting work.,End of Employment,High
"Hi team, My mailbox says it is full even after deleting messages",Email,Medium
Please help. Adobe Acrobat keeps asking for a license This is impacting work.,Software,Medium
Please help. My headset is not being detected.,Hardware,High
Need assistance: Color printing is not working Can someone take a look?,Printer,Medium
Urgent: The software update is stuck at 50 percent Thanks.,Software,Medium
Please help. My account permissions were removed unexpectedly This is impacting work.,Access,High
"Hello, My account permissions were removed unexpectedly",Access,Medium
Spam filter is blocking valid messages,Email,Medium
"Hello, Remote desktop connection fails Thanks.",Network,Low
Please help. Adobe Acrobat keeps asking for a license This is impacting work.,Software,Medium
Please help. Please schedule account deactivation for 09/17/2025. User is separating from the company Please advise.,End of Employment,High
"Hi team, Calendar invites are not syncing",Email,Medium
Print jobs are stuck in the queue Thanks.,Printer,Medium
Color printing is failing This is impacting work.,Printer,Medium
Please help. Docking station is not working Can someone take a look?,Hardware,Medium
Urgent: USB ports are not recognizing devices,Hardware,Medium
Please help. Laptop will not power on This is impacting work.,Hardware,High
Need assistance: Offboarding needed. Cameron Wilson is leaving on 01/09/2025,End of Employment,High
Teams will not open after restarting the laptop Please advise.,Software,High
My MFA code is not being accepted Thanks.,Access,High
Outlook keeps asking for my password Thanks.,Email,Medium
"Hi team, Please schedule account deactivation for 06/10/2025. User is separating from the company Can someone take a look?",End of Employment,High
Need assistance: Remote desktop connection fails,Network,High
Please help. Internet is extremely slow on my laptop.,Network,High
My email signature disappeared after the update,Email,Low
Need assistance: Offboarding needed. Rowan Martinez is leaving on 02/10/2025.,End of Employment,High
My mouse pointer jumps around randomly Thanks.,Hardware,Medium
"Hi team, Set up badge, laptop, and software for new hire Rowan Martinez, starting 11/25/2025",New Hire,Medium
Please help. My MFA code is not being accepted Please advise.,Access,Medium
Urgent: The software update is stuck at 50 percent Please advise.,Software,High
"Hello, I need access to the finance folder This is impacting work.",Access,High
Please help. The printer is making a loud grinding noise Can someone take a look?,Printer,Medium
New Hire paperwork complete. Reese Clark begins on 04/24/2025.,New Hire,Medium
"Hello, Teams crashes during meetings.",Software,Medium
Wi-Fi drops when I move between rooms Thanks.,Network,Medium
"Hello, The webcam is broken",Hardware,High
Need assistance: Second monitor is not detected Thanks.,Hardware,Medium
My account permissions were removed unexpectedly This is impacting work.,Access,Medium
Please help. Keyboard is typing the wrong characters Can someone take a look?,Hardware,High
I can't send email from my phone,Email,Medium
"Hi team, I lose access to the network after waking the laptop",Network,Medium
"Hi team, Please schedule account deactivation for 02/16/2025. User is separating from the company Thanks.",End of Employment,Medium
"Hello, I am unable to access the internal company website Thanks.",Network,High
"Hi team, Please provision a workstation for Morgan Patel. New Hire starts 03/13/2025",New Hire,High
Need assistance: My mouse pointer jumps around randomly,Hardware,Medium
Urgent: The printer is making a loud grinding noise,Printer,Low
Urgent: Video calls keep lagging due to network issues Please advise.,Network,High
Please help. Laptop overheats during normal use.,Hardware,Medium
"Hi team, I get an error message when launching the program Can someone take a look?",Software,Medium
Please help. Please remove system access for departing employee. Last day is 03/08/2025 Can someone take a look?,End of Employment,Medium
Urgent: Offboarding needed. Rowan Martinez is leaving on 01/12/2025,End of Employment,High
I am getting access denied for the project folder Please advise.,Access,High
"Hi team, I lose access to the network after waking the laptop Thanks.",Network,High
"Hi team, Employee Alex Johnson's last day is 01/10/2025. Please disable access at close of business",End of Employment,High
Urgent: My mouse pointer jumps around randomly Please advise.,Hardware,Low
Urgent: I cannot install company software Please advise.,Software,Medium
"Hello, I cannot install company software",Software,High
Please help. A new employee cannot access onboarding tools.,Access,Medium
Urgent: My account is locked after too many login attempts Can someone take a look?,Access,Medium
"Hello, My account permissions were removed unexpectedly",Access,Medium
"Hi team, I am unable to scan to email from the printer.",Printer,Medium
"Hello, My account permissions were removed unexpectedly Can someone take a look?",Access,Medium
Please help. Please schedule account deactivation for 04/27/2025. User is separating from the company Please advise.,End of Employment,Medium
Please help. New Hire Casey Brown starts 08/26/2025. Please prepare laptop and accounts Please advise.,New Hire,Medium
"Hi team, The fan is extremely loud Please advise.",Hardware,High
I cannot log into my VPN account.,Access,Medium
The application fails to start after the update Thanks.,Software,Medium
Need assistance: End of employment request for Rowan Martinez. Last working day is 08/23/2025,End of Employment,Medium
Adobe Acrobat still asking for a license,Software,Medium
My mouse pointer jumps around randomly.,Hardware,High
User separation request. Last day is 08/07/2025 Please advise.,End of Employment,High
Urgent: My account is locked after too many login attempts.,Access,Low
"Hi team, The printer is making a loud grinding noise Thanks.",Printer,Medium
"Hello, Onboarding request: Casey Brown will start on 08/04/2025.",New Hire,High
Need assistance: I cannot log into my VPN account,Access,Medium
The paper tray is not being recognized Thanks.,Printer,Low
"Hello, New employee starting 08/19/2025. Need laptop, email, and system access Can someone take a look?",New Hire,High
Urgent: The printer is not detected on the network,Printer,Medium
Urgent: New Hire Quinn Anderson starts 12/05/2025. Please prepare laptop and accounts,New Hire,Medium
VPN disconnects every few minutes.,Network,Medium
Urgent: Laptop screen flickers when docked Can someone take a look?,Hardware,Medium
Need assistance: Unable to log into the company portal This is impacting work.,Access,Medium
"Hello, The printer prints blank pages This is impacting work.",Printer,Low
"Hello, The scanner feeder is not pulling pages correctly This is impacting work.",Printer,Low
Need assistance: New Hire Rowan Martinez starts 03/29/2025. Kindly prepare laptop and accounts Thanks.,New Hire,Medium
Please help. The scanner feeder is not pulling pages correctly,Printer,Low
Please help. The application window appears blank Can someone take a look?,Software,Low
Offboarding needed. Reese Clark is leaving on 11/16/2025,End of Employment,High
"Hi team, Keyboard is typing the wrong characters.",Hardware,Medium
"Hello, My mouse pointer jumps around randomly.",Hardware,Medium
"Hi team, I get an error message when launching the program This is impacting work.",Software,Medium
I get a permission error when opening the database Thanks.,Access,Medium
Please help. Adobe Acrobat still asking for a license,Software,Medium
"Hello, I cannot connect to office Wi-Fi Thanks.",Network,Medium
Please help. The webcam is not working Thanks.,Hardware,Low
Color printing is not working Can someone take a look?,Printer,Low
Need assistance: Teams will not open after restarting the laptop.,Software,Low
Please process termination for Alex Johnson. User's last day is 05/23/2025.,End of Employment,High
Urgent: The printer still jamming during print jobs Thanks.,Printer,Low
Keyboard is typing the wrong characters Thanks.,Hardware,Medium
I need access to the finance folder.,Access,Low
"Hello, Kindly collect equipment and remove access for Cameron Wilson. Last day 11/30/2025.",End of Employment,High
Urgent: I am unable to connect to office Wi-Fi Please advise.,Network,High
Need assistance: The printer is making a loud grinding noise,Printer,Medium
Need assistance: The printer is making a loud grinding noise,Printer,Low
Laptop overheats during normal use.,Hardware,Medium
Need assistance: Can you process termination for Alex Johnson. User's last day is 10/03/2025.,End of Employment,Medium
"Hi team, Unable to send email from my phone",Email,High
Need assistance: Please provision a workstation for Casey Brown. New Hire starts 01/08/2025,New Hire,Medium
My network drive continues to disconnecting.,Network,Medium
Please help. I get a permission error when opening the database Can someone take a look?,Access,Medium
"Hello, The company portal loads very slowly Please advise.",Network,Medium
Need assistance: A new employee am unable to access onboarding tools.,Access,Medium
The software is running very slowly This is impacting work.,Software,Low
"Hi team, Keyboard is typing the wrong characters This is impacting work.",Hardware,Medium
Need assistance: I am not receiving emails from external senders This is impacting work.,Email,Low
Urgent: Outlook keeps asking for my password.,Email,Low
Shared mailbox is missing from Outlook Can someone take a look?,Email,High
Urgent: Laptop overheats during normal use,Hardware,Medium
The fan is extremely loud This is impacting work.,Hardware,High
"Hi team, Please process termination for Avery Miller. User's last day is 09/14/2025 Thanks.",End of Employment,High
Kindly set up onboarding for new employee Skyler Moore. Start date is 06/27/2025 Thanks.,New Hire,Low
Need assistance: The CRM application keeps logging me out This is impacting work.,Software,Low
Urgent: Internet is extremely slow on my laptop Please advise.,Network,High
I am unable to send email from my phone Can someone take a look?,Email,Low
I need access to the HR shared drive Thanks.,Access,High
"Hello, Please collect equipment and remove access for Quinn Anderson. Last day 05/17/2025 Can someone take a look?",End of Employment,High
Please process termination for Cameron Wilson. User's last day is 03/04/2025,End of Employment,Medium
"Hello, Keyboard is typing the wrong characters Thanks.",Hardware,Medium
Unable to send email from my phone Please advise.,Email,Low
"Hello, User separation request. Last day is 06/23/2025 Thanks.",End of Employment,Medium
Need assistance: The software update is stuck at 50 percent Thanks.,Software,Low
The password reset link is not working,Access,Medium
"Hi team, My MFA code is not being accepted.",Access,Medium
Need assistance: Employee Parker Garcia's last day is 10/21/2025. Can you disable access at close of business Thanks.,End of Employment,High
Urgent: My email signature disappeared after the update Thanks.,Email,Low
Urgent: My account is locked after too many login attempts Can someone take a look?,Access,Low
Need assistance: New Hire paperwork complete. Riley Davis begins on 10/23/2025 Thanks.,New Hire,Medium
"Hello, Unable to connect to office Wi-Fi Can someone take a look?",Network,Low
Need assistance: Teams will not open after restarting the laptop Can someone take a look?,Software,High
Please help. Please collect equipment and remove access for Morgan Patel. Last day 08/21/2025.,End of Employment,High
"Hi team, Teams will not open after restarting the laptop Thanks.",Software,High
"Hi team, The fan is extremely loud This is impacting work.",Hardware,Medium
"Hello, I cannot connect to office Wi-Fi Thanks.",Network,Medium
My MFA code is not being accepted,Access,High
Need assistance: The application window appears blank This is impacting work.,Software,Medium
Wi-Fi drops when I move between rooms This is impacting work.,Network,High
Email search is not finding recent messages.,Email,Medium
"Hi team, My mailbox says it is full even after deleting messages This is impacting work.",Email,Medium
"Hello, My account permissions were removed unexpectedly",Access,Medium
"Hi team, The printer is not detected on the network.",Printer,High
"Hi team, I get an error message when launching the program This is impacting work.",Software,Medium
Rowan Martinez starts 01/23/2025. Please create accounts and assign equipment Can someone take a look?,New Hire,Medium
Outlook keeps asking for my password.,Email,High
Please remove system access for departing employee. Last day is 08/31/2025 Can someone take a look?,End of Employment,High
Adobe Acrobat continues to asking for a license This is impacting work.,Software,High
"Hi team, I am getting access denied for the project folder Can someone take a look?",Access,Low
Need assistance: I am unable to log into the company portal This is impacting work.,Access,Medium
Need assistance: Second monitor is not detected Please advise.,Hardware,High
Please help. Please collect equipment and remove access for Casey Brown. Last day 03/23/2025 This is impacting work.,End of Employment,High
My headset is not being detected This is impacting work.,Hardware,Medium
VPN connects but I can't access shared drives This is impacting work.,Network,Medium
"Hi team, The fan is extremely loud This is impacting work.",Hardware,Medium
"Hello, USB ports are not recognizing devices",Hardware,Medium
Urgent: New Hire Skyler Moore starts 12/24/2025. Please prepare laptop and accounts,New Hire,Low
Spam filter is blocking valid messages Can someone take a look?,Email,Medium
The scanner feeder is not pulling pages correctly Thanks.,Printer,Medium
"Hi team, Please provision a workstation for Casey Brown. New Hire starts 05/14/2025 Please advise.",New Hire,Low
Need assistance: I can't connect to office Wi-Fi,Network,Medium
Please help. The printer prints blank pages Can someone take a look?,Printer,Medium
Urgent: I am unable to open archived emails Thanks.,Email,Medium
The webcam is not working,Hardware,Low
"Hi team, I am not receiving emails from external senders This is impacting work.",Email,Medium
Please help. Please set up onboarding for new employee Alex Johnson. Start date is 10/28/2025,New Hire,Medium
Urgent: Please remove system access for departing employee. Last day is 06/01/2025,End of Employment,Medium
"Hi team, I can't install company software",Software,Medium
Please help. I need access to the HR shared drive Please advise.,Access,Medium
End of employment request for Skyler Moore. Last working day is 08/01/2025 Can someone take a look?,End of Employment,High
"Hello, Onboarding request: Jordan Lee will start on 01/09/2025 Can someone take a look?",New Hire,High
"Hi team, The paper tray is not being recognized Thanks.",Printer,Low
"Hi team, Teams crashes during meetings This is impacting work.",Software,Low
Need assistance: Excel freezes when I open large files,Software,Medium
Excel freezes when I open large files Thanks.,Software,High
Urgent: A new employee cannot access onboarding tools Can someone take a look?,Access,High
Onboarding request: Alex Johnson will start on 05/11/2025 Please advise.,New Hire,High
"Hello, I need access to the finance folder",Access,Medium
"Hi team, New Hire paperwork complete. Quinn Anderson begins on 11/11/2025 Thanks.",New Hire,Medium
Need assistance: Kindly set up onboarding for new employee Skyler Moore. Start date is 04/08/2025 Can someone take a look?,New Hire,Medium
Urgent: The printer shows offline status,Printer,Low
Urgent: The printer is not detected on the network Can someone take a look?,Printer,Low
A new employee cannot access onboarding tools.,Access,High
Urgent: The software update is stuck at 50 percent Please advise.,Software,Low
Urgent: Laptop screen flickers when docked.,Hardware,Medium
Need assistance: Spam filter is blocking valid messages Can someone take a look?,Email,High
The software is running very slowly This is impacting work.,Software,Low
Urgent: The program opens and then immediately closes Can someone take a look?,Software,Low
"Hi team, I am unable to scan to email from the printer Please advise.",Printer,Medium
Please help. The password reset link is broken Please advise.,Access,Medium
Please help. Remote desktop connection fails This is impacting work.,Network,High
My mailbox says it is full even after deleting messages.,Email,Medium
"Hi team, Please process termination for Rowan Martinez. User's last day is 12/27/2025.",End of Employment,High
Need assistance: Emails are stuck in the outbox This is impacting work.,Email,High
Onboarding request: Skyler Moore will start on 03/07/2025 Thanks.,New Hire,Low
Please set up onboarding for new employee Drew Lewis. Start date is 09/28/2025,New Hire,High
Spam filter is blocking valid messages,Email,High
Please help. Connection times out when I try to open the intranet.,Network,High
The application fails to start after the update This is impacting work.,Software,Low
I can't send email from my phone,Email,Medium
Urgent: I cannot log into the company portal This is impacting work.,Access,High
Urgent: User separation request. Last day is 11/12/2025,End of Employment,High
Need assistance: Internet is extremely slow on my laptop Can someone take a look?,Network,Medium
Need assistance: Print jobs are stuck in the queue,Printer,Medium
"Hello, New hire request for Jordan Lee. They start on 04/22/2025",New Hire,Medium
Please help. I am not receiving emails from external senders.,Email,High
Need assistance: The printer prints blank pages This is impacting work.,Printer,High
"Hi team, I need access to the HR shared drive",Access,Medium
"Hi team, I cannot log into my VPN account.",Access,High
Need assistance: I am not receiving emails from external senders,Email,Low
The printer still jamming during print jobs This is impacting work.,Printer,Medium
Connection times out when I try to open the intranet Thanks.,Network,High
Need assistance: Please remove system access for departing employee. Last day is 12/15/2025.,End of Employment,High
"Hi team, I need access to the HR shared drive Please advise.",Access,High
Please help. Docking station is not working,Hardware,Medium
"Hello, The paper tray is not being recognized Thanks.",Printer,Medium
New hire request for Rowan Martinez. They start on 07/19/2025,New Hire,High
Need assistance: My headset is not being detected Can someone take a look?,Hardware,Medium
The printer still jamming during print jobs Please advise.,Printer,High
Please help. New Hire Taylor Smith starts 07/27/2025. Please prepare laptop and accounts Please advise.,New Hire,Low
Need assistance: The printer shows offline status This is impacting work.,Printer,Medium
I can't log into the company portal Please advise.,Access,Low
"Hi team, I am not receiving emails from external senders.",Email,High
"Hello, Please collect equipment and remove access for Alex Johnson. Last day 06/24/2025 Thanks.",End of Employment,High
Need assistance: I can't send email from my phone Thanks.,Email,Medium
Need assistance: Keyboard is typing the wrong characters Thanks.,Hardware,Low
Urgent: The program opens and then immediately closes Can someone take a look?,Software,Medium
Please set up onboarding for new employee Rowan Martinez. Start date is 10/14/2025 Can someone take a look?,New Hire,Medium
"Hi team, Teams will not open after restarting the laptop Thanks.",Software,High
Please help. Battery drains very quickly.,Hardware,Medium
Please help. Shared mailbox is missing from Outlook,Email,Medium
Outlook still asking for my password,Email,Medium
Please help. Color printing is not working Can someone take a look?,Printer,Low
